id,title,content,parent_data,level,description
0.0001,国家三级公立医院绩效考核操作手册,,[0.0001],0.0,这份《国家三级公立医院绩效考核操作手册（2023 版）》详细描述了绩效考核的原则、修订内容以及数据安全要求。其中，绩效评价的指标框架详尽列出了与医疗质量、运营效率、持续发展和满意度评价相关的多个具体指标，用以规范和提升国家三级公立医院的服务效能和管理质量。手册旨在通过这些标准化指标，确保医院绩效考核工作的规范化、标准化和同质化。
0.0002,精神障碍诊疗规范,,[0.0002],0.0,这份文档是一份全面的精神障碍诊疗规范，涵盖了从器质性精神障碍、精神活性物质使用障碍到神经发育障碍等各类精神病的诊断与治疗。它详细描述了疾病的病因、临床特征、评估工具、治疗原则和常用药物。此规范旨在为临床医生提供标准化的治疗指导，确保患者接受系统的医疗服务。
0.0003,常见动物致伤诊疗规范,,[0.0003],0.0,这份《常见动物致伤诊疗规范（2021年版）》提供了关于治疗各种动物致伤的规范
1.0001,一、三级公立医院绩效评价指标框架,三级公立医院绩效考核指标体系中，包含一级指标 4 个、二级指标 14 个、三级指标 55 个（定量 50 个，定性 5 个）、新增指标 1 个。三级公立医院绩效考核指标一览表序号 相关指标 指标属性 指标导向1 门诊人次数与出院人次数比 定量 监测比较2 下转患者人次数（门急诊、住院） 定量 逐步提高↑3 日间手术占择期手术比例 定量 监测比较4 出院患者手术占比▲ 定量 逐步提高↑5 出院患者微创手术占比▲ 定量 逐步提高↑6 出院患者四级手术比例▲ 定量 逐步提高↑7 特需医疗服务占比 定量 监测比较8 手术患者并发症发生率▲ 定量 逐步降低↓9 I类切口手术部位感染率▲ 定量 逐步降低↓监测比较10 单病种质量控制▲ 定量逐步降低↓11 大型医用设备检查阳性率 定量 监测比较12 大型医用设备维修保养及质量控制管理 定性 监测比较13 通过国家室间质量评价的临床检验项目数▲ 定量 逐步提高↑14 低风险组病例死亡率▲ 定量 逐步降低↓15 优质护理服务病房覆盖率 定量 逐步提高↑16 点评处方占处方总数的比例 定量 逐步提高↑17 抗菌药物使用强度（DDDs）▲ 定量 逐步降低↓18 门诊患者基本药物处方占比 定量 逐步提高↑19 住院患者基本药物使用率 定量 逐步提高↑20 基本药物采购品种数占比 定量 逐步提高↑21 国家组织药品集中采购中标药品使用比例 定量 逐步提高↑22 门诊患者平均预约诊疗率 定量 逐步提高↑23 门诊患者预约后平均等待时间 定量 逐步降低↓24 电子病历应用功能水平分级▲ 定性 逐步提高↑25 每名执业医师日均住院工作负担 定量 监测比较26 每百张病床药师人数 定量 监测比较27 门诊收入占医疗收入比例 定量 监测比较28 门诊收入中来自医保基金的比例 定量 监测比较29 住院收入占医疗收入比例 定量 监测比较30 住院收入中来自医保基金的比例 定量 监测比较医疗服务收入（不含药品、耗材、检查检验收入）31 定量 逐步提高↑占医疗收入比例▲32 辅助用药收入占比 定量 监测比较33 人员支出占业务支出比重▲ 定量 逐步提高↑序号 相关指标 指标属性 指标导向34 万元收入能耗支出▲ 定量 逐步降低↓35 收支结余▲ 定量 监测比较36 资产负债率▲ 定量 监测比较37 医疗收入增幅 定量 监测比较38 门诊次均费用增幅▲ 定量 逐步降低↓39 门诊次均药品费用增幅▲ 定量 逐步降低↓40 住院次均费用增幅▲ 定量 逐步降低↓41 住院次均药品费用增幅▲ 定量 逐步降低↓42 全面预算管理 定性 逐步完善43 规范设立总会计师 定性 逐步完善44 卫生技术人员职称结构 定量 监测比较45 麻醉、儿科、重症、病理、中医医师占比▲ 定量 逐步提高↑46 医护比▲ 定量 监测比较医院接受其他医院（尤其是对口支援医院、医联体47 定量 逐步提高↑内医院）进修并返回原医院独立工作人数占比48 医院住院医师首次参加医师资格考试通过率▲ 定量 逐步提高↑49 医院承担培养医学人才的工作成效 定量 逐步提高↑50 每百名卫生技术人员科研项目经费▲ 定量 逐步提高↑51 每百名卫生技术人员科研成果转化金额 定量 逐步提高↑52 公共信用综合评价等级 定性 监测比较53 门诊患者满意度▲ 定量 逐步提高↑54 住院患者满意度▲ 定量 逐步提高↑55 医务人员满意度▲ 定量 逐步提高↑增1 重点监控高值医用耗材收入占比 定量 监测比较注：1.指标中加“▲”的为国家监测指标。用，各地可根据本地实际确定基准值或合理基准区间。发〔2019〕37号）而增设指标。,"[0.0001, 1.0001]",1.0,该绩效评价指标框架通过设置4个一级指标、14个二级指标和55个三级指标（含50个定量及5个定性指标）及1个新增指标，旨在全面评价三级公立医院的服务质量、运营效率和发展能力。这套体系涵盖医疗服务、财务管理、人才培养等关键领域，指导医院优化管理与服务，提升医疗效率和患者满意度。
2.0001,二、医疗质量相关指标,医疗质量指标部分，共有二级指标 4 个，三级指标 24 个（国家监测指标 10 个），其中定量指标 22 个，定性指标 2 个。,"[0.0001, 2.0001]",1.0,涉及医疗服务的质量和安全，包括门诊和住院患者的服务比例、手术安全、日间手术的推广、特需医疗服务比例、并发症控制、药品使用与管理等，强调了优化医疗流程、提高手术安全和药品使用效率的重要性。
3.0001,（一）功能定位（指标 1-7）,,"[0.0001, 2.0001, 3.0001]",2.0,聚焦于医院服务的基本功能和定位，如门诊与住院服务比例、专业手术比例和特需医疗服务的提供，指标反映了医院在满足不同患者需求方面的能力。
4.0001,1.门诊人次数与出院人次数比,【指标属性】定量指标【计量单位】比值（X:1）【指标定义】考核年度门诊患者人次数与同期出院患者人次数之比。【计算方法】门诊患者人次数门诊人次数与出院人次数比 =同期出院患者人次数【指标说明】（1）分子1：门诊患者人次数仅以门诊挂号数统计，不包括急诊患者、健康体检者。（2）分母：出院患者人次数是指出院人数，即考核年度内所有住院后出院的人数，包括医嘱离院、医嘱转其他医疗机构、非医嘱离院、死亡及其他人数2，不含家庭病床撤床人数。1 参阅《2021国家卫生健康统计调查制度》。2 统计界定原则是（1）“死亡”包括已办住院手续后死亡者、未办理住院手续而实际上已收容入院的死亡者。（2）“其他人数”指正常分娩和未产出院者、未治和住院经检查无病出院者、无并发症的人工流产或绝育手术出院者。【指标意义】依据《国务院办公厅关于印发全国医疗卫生服务体系规划纲要（2015-2020 年）的通知》（国办发〔2015〕14 号）、《国务院办公厅关于城市公立医院综合改革试点的指导意见》（国办发〔2015〕38 号）、《关于印发控制公立医院医疗费用不合理增长的若干意见》（国卫体改发〔2015〕89 号）、《国务院办公厅关于推进分级诊疗制度建设的指导意见》（国办发〔2015〕70 号）、《中共中央 国务院印发<“健康中国 2030”规划纲要>》《国务院关于印发“十三五”深化医药卫生体制改革规划的通知》（国发〔2016〕78 号）和《国务院办公厅关于印发“十四五”国民健康规划的通知》（国办发〔2022〕11 号）等文件精神，公立医院是我国医疗服务体系的主体，进一步完善和落实医保支付和医疗服务价格政策，调动三级公立医院参与分级诊疗的积极性和主动性，引导三级公立医院收治疑难复杂和危急重症患者，逐步下转常见病、多发病和疾病稳定期、恢复期患者。城市三级综合医院普通门诊就诊人次占比逐步降低。【指标导向】监测比较。【指标来源】医院填报。【指标解释】省级卫生健康委。,"[0.0001, 2.0001, 3.0001, 4.0001]",3.0,考核年度门诊患者人次数与同期出院患者人次数之比。
5.0001,2.下转患者人次数（门急诊、住院）,【指标属性】定量指标【计量单位】人次【指标定义】考核年度三级公立医院向二级医院或者基层医疗机构下转的患者人次数，包括门急诊、住院患者。【计算方法】下转患者人次数 = 门急诊下转患者人次数+ 住院下转患者人次数【指标说明】（1）考核三级公立医院向医联体3内的二级医院、基层医疗机构下转患者情况。（2）门急诊下转患者包括医联体患者登记系统中，三级医院向二级医院、基层医疗机构下转的患者。（3）住院下转患者包括病案首页在“离院方式”选项中，填写“医嘱转社区卫生服务机构/乡镇卫生院”（代码为 3）的出院患者，及住院信息系统中查阅到的下转二级医院、基层医疗机3 医联体：是指由不同级别、类别医疗机构之间，通过纵向或横向协作形成的医疗机构联合组织。目前医联体主要有四种组织模式：一是医疗集团，在设区的市级以上城市，由三级公立医院或者业务能力较强的医院牵头，联合社区卫生服务机构、护理院、专业康复机构等，形成资源共享、分工协作的管理模式。二是医疗共同体，以县级医院为龙头、乡镇卫生院为枢纽、村卫生室为基础的县乡一体化管理，与乡村一体化管理有效衔接。三是专科联盟，医疗机构之间以专科协作为纽带形成联合体。四是远程医疗协作网，由牵头单位与基层、偏远和欠发达地区医疗机构建立远程医疗服务网络。构的出院患者。（4）门急诊和住院下转患者人次数累加求和为医院下转患者人次数，不包括出院患者在下级医院门诊复查以及三级医院间相互转诊的人次数。【指标意义】《中共中央国务院关于卫生改革与发展的决定》（中发〔1997〕3 号）中首次提出建立双向转诊制度，《国务院办公厅关于推进分级诊疗制度建设的指导意见》（国办发〔2015〕70 号）、《国务院关于印发“十三五”深化医药卫生体制改革规划的通知》（国发〔2016〕78 号）和《国务院办公厅关于推进医疗联合体建设和发展的指导意见》（国办发〔2017〕32 号）等一系列文件中提出，明确各级各类医疗机构诊疗服务功能定位，控制三级医院普通门诊规模，支持和引导病人优先到基层医疗卫生机构就诊，由基层医疗卫生机构逐步承担公立医院的普通门诊、稳定期和恢复期康复以及慢性病护理等服务。2017 年，全面启动多种形式的医联体建设试点，三级公立医院要全部参与并发挥引领作用，综合医改试点省份每个地市以及分级诊疗试点城市至少建成一个有明显成效的医联体。到 2020 年，所有二级公立医院和政府办基层医疗卫生机构全部参与医联体。三级医院应当根据功能定位，重点收治疑难复杂疾病和疾病的急性期患者，将适宜患者向下转诊，以提高医疗资源利用效率。《深入推广福建省三明市经验深化医药卫生体制改革的实施意见》（国医改发〔2021〕2 号）中提出，创新分级诊疗和医防协同机制，促进优质医疗资源下沉和有序就医。《国务院办公厅关于印发“十四五”国民健康规划的通知》（国办发〔2022〕11 号）要求加快推动县域综合医改，推进紧密型县域医共体建设，推进专科联盟和远程医疗协作网发展。【指标导向】逐步提高。【指标来源】医院填报。【指标解释】省级卫生健康委。,"[0.0001, 2.0001, 3.0001, 5.0001]",3.0,考核年度三级公立医院向二级医院或者基层医疗机构下转的患者人次数，包括门急诊、住院患者。
6.0001,3.日间手术占择期手术比例,【指标属性】定量指标【计量单位】百分比（%）【指标定义】考核年度出院患者施行日间手术4台次数占同期出院患者择期手术5总台次数的比例。【计算方法】日间手术台次数日间手术占择期手术比例 = × 100%同期出院患者择期手术总台次数【指标说明】（1）分子：日间手术台次数是指日间手术患者人数，即在日间手术室或住院部手术室内、麻醉状态下完成的择期日间手术人数。（2）分母：此处同期出院患者择期手术总台次数是指同期出院患者择期手术人数，同一次住院就诊期间患有同一疾病或不同疾病施行多次手术者，按 1 人统计。统计单位以人数计算，总数为实施择期手术和介入治疗人数累加求和。包括妊娠、分娩、围产期、新生儿患者。4 日间手术是在日间手术室或住院部手术室内、麻醉状态下完成的手术（含介入治疗），指按照诊疗计划患者在1日（24小时）内入、出院完成手术或介入治疗（不包括门诊手术或门诊介入治疗），如因病情需要延期住院的特殊病例，住院时间不超过48小时。5 择期手术是指可以选择适当时机实施的手术，手术时机不致于影响治疗效果，允许术前充分准备或观察，再选择时机施行手术。（3）本年度考核手术名称和编码参阅《手术操作分类代码国家临床版 3.0（2022 汇总版）》6。【指标意义】《关于印发进一步改善医疗服务行动计划的通知》（国卫医发〔2015〕2 号）提出推行日间手术。医院在具备微创外科和麻醉支持的条件下，选择既往需要住院治疗的诊断明确单一、临床路径清晰、风险可控的中、小型择期手术，逐步推行日间手术，提高床位周转率，缩短住院患者等候时间。《关于印发开展三级医院日间手术试点工作方案的通知》（国卫医函〔2016〕306 号）和《国务院办公厅关于推动公立医院高质量发展的意见》（国办发〔2021〕18 号）把推进日间手术模式作为公立医院综合改革的重要内容，同时，要求在保障医疗质量与安全的前提下，符合条件的三级医院稳步开展日间手术，逐步扩大日间手术病种范围，逐年增加日间手术占择期手术的比例，缩短患者等待住院和等待手术时间，提高医疗服务效率，缓解患者“住院难”和“手术难”问题。《国家卫生健康委办公厅关于发布日间手术推荐目录（2022 年版）》整合发布了 708 项日6 在《手术操作分类代码国家临床版 3.0》基础上，新增主要编码 81 条，修改名称 18 条，修改类别40条，形成《手术操作分类代码国家临床版3.0（2022汇总版）》。详见《国家卫生健康委办公厅关于启动 2022 年度二级和三级公立医院绩效考核有关工作的通知》（国卫办医函〔2022〕325号）。间手术推荐目录。推荐目录见附件 1。【指标导向】监测比较。【指标来源】医院填报。【指标解释】国家卫生健康委病案管理质量控制中心、省级卫生健康委。,"[0.0001, 2.0001, 3.0001, 6.0001]",3.0,考核年度出院患者施行日间手术台次数占同期出院患者择期手术总台次数的比例。
7.0001,4.出院患者手术占比▲,【指标属性】定量指标，国家监测指标。【计量单位】百分比（%）【指标定义】考核年度出院患者施行手术7治疗台次数占同期出院患者总人次数的比例。【计算方法】出院患者手术台次数出院患者手术占比 = × 100%同期出院患者总人次数【指标说明】（1）分子：出院患者手术台次数是指出院患者手术人数，即同一次住院就诊期间患有同一疾病或不同疾病施行多次手术患者，按 1 人统计。统计单位以人数计算，总数为手术和介入治疗8人数累加求和。（2）分母：同期出院患者总人次数是指出院人数。（3）手术和介入治疗统计按照《手术操作分类代码国家临床版 3.0（2022 汇总版）》的目录实施。7 根据《国家卫生健康委办公厅关于印发医疗机构手术分级管理办法的通知》（国卫办医政发〔2022〕18号）规定，手术是指医疗机构及其医务人员以诊断或治疗疾病为目的，在人体局部开展去除病变组织、修复损伤、重建形态或功能、移植细胞组织或器官、植入医疗器械等医学操作的医疗技术，手术应当经过临床研究论证且安全性、有效性确切。8 介入治疗即不切开暴露病灶的情况下，在血管、皮肤上作微小通道，或经人体原有的管道，在影像设备(血管造影机、透视机、CT、MR、B超等)的引导下对病灶局部进行治疗的创伤最小的治疗方法，包括：心血管介入、外周血管介入、神经血管介入、综合介入。【指标意义】手术和介入治疗的数量尤其是疑难复杂手术和介入治疗的数量与医院的规模、人员、设备、设施等综合诊疗技术能力及临床管理流程成正相关，鼓励三级医院优质医疗资源服务于疑难危重患者，尤其是能够提供安全有保障的高质量医疗技术服务。【指标导向】逐步提高。【指标来源】病案首页。【指标解释】国家卫生健康委病案管理质量控制中心。,"[0.0001, 2.0001, 3.0001, 7.0001]",3.0,考核年度出院患者施行手术治疗台次数占同期出院患者总人次数的比例。
